Deficiency,Method,Metric,Mean,Std,Min,Max
tritanopia,daltonized,SSIM,0.999938483128,5.0925779347e-05,0.99973008456,0.999992293219
tritanopia,daltonized,DeltaE_mean,5.82217168808,1.3565030098,3.41835522652,10.2393541336
tritanopia,daltonized,DeltaE_std,3.29241061211,0.643672466278,1.2604136467,4.65015220642
tritanopia,daltonized,ColorGradient_mean,2.13430831156,0.862515454557,0.732166171074,4.96266841888
tritanopia,daltonized,ColorGradient_diff,-1.29026961327,0.40929800272,-2.5422296524,-0.47112095356
tritanopia,daltonized,Magnitude_Mean,21.7913158135,16.3318322942,-4.49820966391,74.8273268341
tritanopia,daltonized,Magnitude_Std,97.0948071094,23.3939030905,43.9437024923,162.065914178
tritanopia,daltonized,Orientation_Mean,8.03625355391,2.27392544151,-0.833775635532,15.9839696604
tritanopia,daltonized,Orientation_Std,38.7515831065,4.61520696554,30.3966086125,54.0408672617
tritanopia,daltonized,Magnitude_Max,1086.66890059,196.725903291,606.393864613,1672.0
tritanopia,daltonized,Orientation_Max,89.999962135,0.000396046723495,89.9957895286,90.0
tritanopia,daltonized,Histogram_Correlation,0.716967995036,0.30042991029,-0.105371846141,0.995285942458
tritanopia,daltonized,Edge_Preservation,0.950998578753,0.0270986142474,0.873092651367,0.994598388672
tritanopia,glass_effect,PSNR,75.7319324706,5.03535015993,65.8924996294,90.1221025958
tritanopia,glass_effect,SSIM,0.999854430982,0.000199941812268,0.998586894136,0.999997425286
tritanopia,glass_effect,DeltaE_mean,5.60606384277,2.98152041435,1.33173441887,16.6544857025
tritanopia,glass_effect,DeltaE_std,2.82381653786,1.52159631252,0.374067425728,7.63136577606
tritanopia,glass_effect,ColorGradient_mean,1.66430845005,0.811691912655,0.435230702162,4.19678163528
tritanopia,glass_effect,ColorGradient_diff,-0.350269734859,0.170034796,-0.946005821228,-0.0514923334122
tritanopia,glass_effect,Magnitude_Mean,10.4269850172,19.0291368419,-52.4288133134,60.4859820134
tritanopia,glass_effect,Magnitude_Std,31.7692017587,16.4411611468,7.48050425548,85.8837328499
tritanopia,glass_effect,Orientation_Mean,2.54890586314,1.26702297688,0.947532336952,8.07292489014
tritanopia,glass_effect,Orientation_Std,20.6209297142,4.54011001837,12.0417914244,35.1763894168
tritanopia,glass_effect,Magnitude_Max,268.933889313,116.561852387,49.75922703,579.888192473
tritanopia,glass_effect,Orientation_Max,89.9988414296,0.0121836072487,89.8704791658,90.0
tritanopia,glass_effect,Histogram_Correlation,0.738197898958,0.299598075658,-0.0877699444856,0.994078311782
tritanopia,glass_effect,Edge_Preservation,0.9875831604,0.00862932788077,0.956954956055,0.998886108398
